hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,113,2016,September,37,7,1,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient,118.8,0,0,Canceled,2016-05-23
City Hotel,0,272,2017,July,28,12,0,3,2,2.0,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9.0,0,Transient-Party,179.1,0,2,Check-Out,2017-07-15
City Hotel,1,11,2016,November,45,5,0,1,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,150.0,0,1,Canceled,2016-10-28
City Hotel,1,98,2015,November,48,23,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,0,Transient-Party,70.0,0,0,No-Show,2015-11-23
City Hotel,1,292,2015,August,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,0,16,2016,December,50,4,2,0,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,118.8,0,1,Check-Out,2016-12-06
City Hotel,0,70,2016,April,17,22,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,97.33,0,0,Check-Out,2016-04-26
Resort Hotel,1,49,2015,July,30,20,3,6,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,0,Transient,111.2,0,0,Canceled,2015-06-01
City Hotel,1,379,2015,October,44,31,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,2015-07-23
Resort Hotel,1,289,2017,July,30,25,0,4,2,1.0,0,BB,AUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,172.8,0,0,Canceled,2017-04-19
Resort Hotel,1,108,2016,April,18,29,2,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,0,Transient,84.0,0,0,Canceled,2016-02-12
Resort Hotel,0,128,2016,December,50,8,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,36.04,0,2,Check-Out,2016-12-11
Resort Hotel,0,18,2016,April,15,9,2,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,33.3,0,0,Check-Out,2016-04-14
Resort Hotel,1,46,2017,August,32,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261.0,0,Transient,212.0,0,0,Canceled,2017-07-12
City Hotel,0,4,2015,August,33,11,0,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,90.0,0,2,Check-Out,2015-08-16
City Hotel,1,332,2017,April,16,22,1,1,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,125.1,0,0,Canceled,2016-06-07
City Hotel,0,28,2017,February,7,13,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,0,Transient,75.0,0,0,Check-Out,2017-02-16
Resort Hotel,0,1,2015,October,42,13,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,0,Transient,66.0,0,1,Check-Out,2015-10-14
City Hotel,0,53,2015,October,41,9,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,94.5,0,0,Check-Out,2015-10-12
Resort Hotel,1,260,2015,December,52,20,4,9,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,47.54,0,1,Canceled,2015-08-24
Resort Hotel,0,166,2016,August,35,27,2,2,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,0,Transient-Party,100.8,0,0,Check-Out,2016-08-31
City Hotel,0,76,2017,July,29,16,2,3,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,108.0,0,0,Check-Out,2017-07-21
City Hotel,0,1,2015,August,33,9,1,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,153.0,0,2,Check-Out,2015-08-10
City Hotel,0,172,2017,April,15,13,0,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,153.0,0,2,Check-Out,2017-04-16
City Hotel,0,2,2016,March,13,20,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,0,Transient-Party,85.0,0,0,Check-Out,2016-03-26
Resort Hotel,0,4,2017,June,23,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146.0,0,Transient,108.0,0,2,Check-Out,2017-06-09
City Hotel,0,175,2017,August,35,31,1,3,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42.0,0,Transient,86.85,0,2,Check-Out,2017-09-04
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,0,Transient,140.0,0,0,Canceled,2015-07-03
Resort Hotel,0,2,2015,October,41,9,0,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,1,A,D,0,No Deposit,,0,Transient,48.0,0,0,Check-Out,2015-10-10
Resort Hotel,0,8,2015,July,28,7,0,4,3,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,0,Transient,193.0,0,1,Check-Out,2015-07-11
Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,0,Transient-Party,67.0,0,0,Canceled,2015-07-30
Resort Hotel,0,36,2016,June,24,9,0,3,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,0,Transient,153.03,1,1,Check-Out,2016-06-12
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient,62.8,0,0,Canceled,2015-09-04
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,20,Transient,75.0,0,0,Canceled,2016-02-03
City Hotel,0,50,2016,April,16,12,0,3,2,1.0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,164.25,0,2,Check-Out,2016-04-15
City Hotel,0,32,2016,October,43,22,2,5,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,0,Transient,118.0,0,2,Check-Out,2016-10-29
City Hotel,1,19,2015,October,41,6,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,0,Transient,80.0,0,0,Canceled,2015-09-17
City Hotel,0,61,2016,April,18,30,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,85.0,0,Transient,89.75,0,1,Check-Out,2016-05-02
City Hotel,0,297,2017,July,29,21,2,2,2,1.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,0,Transient,102.1,0,0,Check-Out,2017-07-25
City Hotel,0,131,2017,June,23,8,0,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,144.0,0,1,Check-Out,2017-06-11
Resort Hotel,0,228,2016,September,37,5,6,15,2,0.0,0,HB,DEU,Direct,Direct,0,0,1,D,D,0,No Deposit,,0,Transient,88.0,0,1,Check-Out,2016-09-26
City Hotel,1,330,2016,June,23,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,1,53,2016,May,21,18,0,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.9,0,0,Canceled,2016-03-28
City Hotel,0,144,2016,June,27,26,2,0,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,85.5,0,1,Check-Out,2016-06-28
Resort Hotel,0,36,2015,December,53,27,2,0,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6.0,0,Transient,55.4,1,0,Check-Out,2015-12-29
City Hotel,1,313,2017,April,17,29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient,90.0,0,0,Canceled,2017-02-23
Resort Hotel,1,32,2016,April,17,19,2,5,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,0,Transient-Party,69.36,0,0,Canceled,2016-03-18
City Hotel,1,524,2016,December,51,15,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,62.8,0,0,Canceled,2015-10-21
City Hotel,1,56,2017,March,12,21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,0,Transient,85.0,0,0,Canceled,2017-01-24
City Hotel,1,138,2016,August,34,18,0,2,3,0.0,0,BB,ARE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,142.2,0,0,Canceled,2016-08-18
City Hotel,0,156,2016,August,35,21,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,103.5,1,0,Check-Out,2016-08-24
City Hotel,0,164,2015,October,40,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,19.0,0,Transient-Party,100.0,0,0,Check-Out,2015-10-04
Resort Hotel,0,8,2015,November,48,25,0,1,1,0.0,0,BB,,Corporate,Corporate,0,0,7,A,D,0,No Deposit,,0,Transient,35.0,0,1,Check-Out,2015-11-26
Resort Hotel,0,2,2016,November,47,18,0,2,2,0.0,0,HB,DEU,Direct,TA/TO,0,0,0,A,D,0,No Deposit,,0,Transient,73.8,0,2,Check-Out,2016-11-20
City Hotel,1,391,2016,July,31,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,65.0,0,0,Canceled,2015-12-09
City Hotel,0,66,2016,November,48,24,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,0,Transient,75.0,0,0,Check-Out,2016-11-27
City Hotel,0,256,2016,August,36,31,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,90.95,0,0,Check-Out,2016-09-04
City Hotel,1,94,2016,August,35,23,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.9,0,0,Canceled,2016-05-22
Resort Hotel,0,94,2017,February,7,13,1,3,3,0.0,0,HB,JAM,Groups,TA/TO,0,0,0,A,A,1,No Deposit,152.0,0,Transient-Party,88.0,0,0,Check-Out,2017-02-17
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,0,Transient,140.0,0,0,Canceled,2015-07-03
City Hotel,0,56,2016,March,10,3,1,3,2,0.0,0,BB,ESP,Groups,Corporate,0,0,0,A,A,0,No Deposit,,0,Transient-Party,72.0,0,0,Check-Out,2016-03-07
